company_size,annual_revenue_k,website_visits_30d,email_opens_30d,demo_requests_30d,form_submissions_30d,days_since_last_contact,lead_source,industry,decision_maker_engaged,converted
12,801.87,10,6,0,0,25,social,saas,False,0
135,495.8,15,1,1,0,57,paid_search,finance,False,0
141,292.1,15,3,0,4,79,outbound,finance,True,0
37,282.35,6,6,0,1,19,social,saas,False,0
83,169.05,6,2,0,0,32,organic,saas,False,0
46,331.71,15,3,1,0,2,outbound,ecommerce,False,0
66,1480.31,10,0,0,1,33,social,finance,False,0
22,629.26,5,2,1,1,10,social,finance,True,0
90,1285.1,14,1,0,2,16,organic,finance,True,1
15,825.57,13,5,0,1,2,paid_search,ecommerce,False,0
13,267.13,15,6,0,1,12,paid_search,saas,False,0
50,94.71,16,4,2,0,23,outbound,healthcare,False,0
46,195.03,11,6,0,0,25,referral,saas,False,1
68,251.83,5,2,1,2,61,outbound,finance,False,0
32,233.09,10,4,1,1,15,paid_search,saas,False,0
247,1314.25,19,8,0,0,28,organic,ecommerce,True,0
62,1300.61,14,4,1,1,65,referral,healthcare,False,1
66,4500.21,9,2,0,0,9,organic,healthcare,True,1
64,229.59,18,1,0,0,127,outbound,healthcare,False,0
122,2434.38,12,1,0,2,16,referral,ecommerce,False,0
87,2419.38,19,3,0,0,30,social,services,True,0
78,390.62,17,1,1,3,9,paid_search,services,False,0
98,791.2,12,7,0,1,62,outbound,services,False,0
13,1704.0,15,3,0,0,21,outbound,healthcare,False,0
13,464.55,7,5,0,0,18,social,healthcare,True,0
51,429.92,6,3,2,0,1,organic,healthcare,True,1
47,263.13,11,3,0,0,38,paid_search,ecommerce,False,0
87,46.52,7,2,0,4,39,organic,ecommerce,True,1
55,528.73,12,2,0,0,4,organic,healthcare,False,0
87,242.29,13,5,1,1,59,social,saas,False,0
20,168.12,11,8,2,1,20,social,saas,True,0
54,751.59,17,3,0,1,43,outbound,services,False,0
19,115.43,9,5,0,2,21,paid_search,saas,False,0
74,1103.32,16,2,1,1,43,paid_search,healthcare,False,0
12,799.19,10,5,1,0,18,paid_search,healthcare,False,0
72,330.24,5,2,0,1,40,organic,saas,False,0
17,462.52,10,3,0,2,18,organic,services,False,0
40,149.87,17,3,0,2,0,referral,saas,True,1
112,1043.5,10,5,0,0,61,organic,services,False,0
65,594.29,7,5,1,3,2,social,finance,False,0
15,640.24,21,7,0,1,2,paid_search,saas,False,0
32,813.94,14,5,1,1,7,outbound,saas,False,0
16,259.2,9,8,0,2,30,social,ecommerce,False,0
14,107.87,14,2,1,0,5,paid_search,ecommerce,False,0
60,1283.46,12,3,0,2,5,outbound,saas,False,0
85,981.14,13,5,3,3,27,outbound,services,True,1
78,288.48,20,2,1,1,38,paid_search,saas,True,1
88,741.82,11,6,0,0,56,paid_search,services,True,1
54,1733.63,12,9,1,0,43,social,saas,True,0
44,1538.71,8,6,1,1,5,organic,services,False,1
23,280.18,7,3,0,0,6,organic,saas,False,0
38,111.19,9,3,0,1,7,organic,ecommerce,False,0
19,132.0,10,4,1,0,2,social,healthcare,False,1
28,360.78,13,5,0,1,5,social,saas,True,0
59,2126.68,14,0,0,2,20,social,services,False,0
